_id,CODIGO,CAMINO,ETAPA,COORD_X,COORD_Y,TIPO_SENAL
71,71,Francés,F2 (Orreaga/Roncesvalles-Zubiri),624877,4755645,Mojón
72,72,Francés,F2 (Orreaga/Roncesvalles-Zubiri),624856,4755590,Flecha Direccional
73,73,Francés,F2 (Orreaga/Roncesvalles-Zubiri),624342,4755196,Mojón
74,74,Francés,F2 (Orreaga/Roncesvalles-Zubiri),623882,4755307,Mojón
75,75,Francés,F2 (Orreaga/Roncesvalles-Zubiri),623520,4755435,Mojón
76,76,Francés,F2 (Orreaga/Roncesvalles-Zubiri),622668,4754519,Mojón
77,77,Francés,F2 (Orreaga/Roncesvalles-Zubiri),622126,4753645,Mojón
78,78,Francés,F2 (Orreaga/Roncesvalles-Zubiri),622047,4753621,Señal Cruce Carretera
79,79,Francés,F2 (Orreaga/Roncesvalles-Zubiri),621987,4753588,Mojón
80,80,Francés,F2 (Orreaga/Roncesvalles-Zubiri),621758,4753175,Mojón
81,81,Francés,F2 (Orreaga/Roncesvalles-Zubiri),621716,4753106,Señal Cruce Carretera
82,82,Francés,F2 (Orreaga/Roncesvalles-Zubiri),621410,4752680,Mojón
83,83,Francés,F2 (Orreaga/Roncesvalles-Zubiri),621401,4752651,Mojón
84,84,Francés,F2 (Orreaga/Roncesvalles-Zubiri),621733,4753153,Mojón
85,85,Francés,F2 (Orreaga/Roncesvalles-Zubiri),621361,4752638,Mojón
86,86,Francés,F2 (Orreaga/Roncesvalles-Zubiri),621245,4752514,Mojón
87,87,Francés,F2 (Orreaga/Roncesvalles-Zubiri),620641,4751990,Mojón
88,88,Francés,F2 (Orreaga/Roncesvalles-Zubiri),620495,4751832,Mojón
89,89,Francés,F2 (Orreaga/Roncesvalles-Zubiri),619903,4751650,Señal Cruce Carretera
90,90,Francés,F2 (Orreaga/Roncesvalles-Zubiri),619859,4751611,Mojón
91,91,Francés,F2 (Orreaga/Roncesvalles-Zubiri),619839,4751586,Señal Cruce Carretera
92,92,Francés,F2 (Orreaga/Roncesvalles-Zubiri),636202,4761995,Mojón
93,93,Francés,F3 (Zubiri-Pamplona/Iruña),618997,4750551,Mojón
94,94,Francés,F3 (Zubiri-Pamplona/Iruña),618537,4750380,Señal Cruce Carretera
95,95,Francés,F3 (Zubiri-Pamplona/Iruña),618516,4750329,Mojón
96,96,Francés,F3 (Zubiri-Pamplona/Iruña),618486,4750304,Señal Cruce Carretera
97,97,Francés,F3 (Zubiri-Pamplona/Iruña),617556,4749460,Mojón
98,98,Francés,F3 (Zubiri-Pamplona/Iruña),617265,4748528,Señal Cruce Carretera
99,99,Francés,F3 (Zubiri-Pamplona/Iruña),617258,4748533,Flecha Direccional
100,100,Francés,F3 (Zubiri-Pamplona/Iruña),616957,4747974,Mojón
101,101,Francés,F3 (Zubiri-Pamplona/Iruña),616973,4747727,Mojón
102,102,Francés,F3 (Zubiri-Pamplona/Iruña),616966,4747619,Señal Cruce Carretera
103,103,Francés,F3 (Zubiri-Pamplona/Iruña),616992,4747544,Mojón
104,104,Francés,F3 (Zubiri-Pamplona/Iruña),617005,4747422,Mojón
105,105,Francés,F3 (Zubiri-Pamplona/Iruña),616930,4747056,Mojón
106,106,Francés,F3 (Zubiri-Pamplona/Iruña),616547,4746463,Mojón
107,107,Francés,F3 (Zubiri-Pamplona/Iruña),615922,4745764,Señal Cruce Carretera
108,108,Francés,F3 (Zubiri-Pamplona/Iruña),616216,4745867,Flecha Direccional
109,109,Francés,F3 (Zubiri-Pamplona/Iruña),615813,4745641,Mojón
110,110,Francés,F3 (Zubiri-Pamplona/Iruña),615717,4745572,Mojón
111,111,Francés,F3 (Zubiri-Pamplona/Iruña),615671,4745541,Mojón
112,112,Francés,F3 (Zubiri-Pamplona/Iruña),615622,4745459,Mojón
113,113,Francés,F3 (Zubiri-Pamplona/Iruña),615155,4744189,Mojón
114,114,Francés,F3 (Zubiri-Pamplona/Iruña),635910,4765549,Señal Cruce Carretera
115,115,Aragonés,A3 (Monreal-Puente la Reina/Gares),619245,4729922,Mojón
116,116,Aragonés,A3 (Monreal-Puente la Reina/Gares),618891,4730025,Flecha Direccional
117,117,Aragonés,A3 (Monreal-Puente la Reina/Gares),618601,4730097,Otros
118,118,Aragonés,A3 (Monreal-Puente la Reina/Gares),617981,4730113,Mojón
119,119,Aragonés,A3 (Monreal-Puente la Reina/Gares),617438,4730066,Mojón
120,120,Aragonés,A3 (Monreal-Puente la Reina/Gares),615933,4730111,Mojón
121,121,Aragonés,A3 (Monreal-Puente la Reina/Gares),615808,4729993,Mojón
122,122,Aragonés,A3 (Monreal-Puente la Reina/Gares),615749,4730051,Mojón
123,123,Aragonés,A3 (Monreal-Puente la Reina/Gares),615525,4729865,Mojón
124,124,Aragonés,A3 (Monreal-Puente la Reina/Gares),614714,4729265,Mojón
125,125,Aragonés,A3 (Monreal-Puente la Reina/Gares),614554,4729354,Otros
126,126,Aragonés,A3 (Monreal-Puente la Reina/Gares),614495,4729247,Flecha Direccional
127,127,Aragonés,A3 (Monreal-Puente la Reina/Gares),614188,4729164,Mojón
128,128,Aragonés,A3 (Monreal-Puente la Reina/Gares),613239,4728824,Mojón
129,129,Aragonés,A3 (Monreal-Puente la Reina/Gares),612559,4728312,Mojón
130,130,Aragonés,A3 (Monreal-Puente la Reina/Gares),612475,4728261,Mojón
131,131,Aragonés,A3 (Monreal-Puente la Reina/Gares),612509,4728247,Mojón
132,132,Aragonés,A3 (Monreal-Puente la Reina/Gares),612286,4728215,Mojón
133,133,Aragonés,A3 (Monreal-Puente la Reina/Gares),611936,4728322,Mojón
134,134,Aragonés,A3 (Monreal-Puente la Reina/Gares),611825,4728302,Señal Cruce Carretera
135,135,Aragonés,A3 (Monreal-Puente la Reina/Gares),611729,4728249,Mojón
136,136,Aragonés,A3 (Monreal-Puente la Reina/Gares),611705,4728203,Señal Cruce Carretera
137,137,Aragonés,A3 (Monreal-Puente la Reina/Gares),611350,4727655,Mojón
138,138,Aragonés,A3 (Monreal-Puente la Reina/Gares),611348,4727590,Señal Cruce Carretera
139,139,Aragonés,A3 (Monreal-Puente la Reina/Gares),611308,4727535,Mojón
140,140,Aragonés,A3 (Monreal-Puente la Reina/Gares),611260,4727507,Señal Cruce Carretera
141,141,Aragonés,A3 (Monreal-Puente la Reina/Gares),611148,4727384,Flecha Direccional
142,142,Aragonés,A3 (Monreal-Puente la Reina/Gares),610596,4726848,Mojón
143,143,Aragonés,A3 (Monreal-Puente la Reina/Gares),610190,4726055,Mojón
144,144,Aragonés,A3 (Monreal-Puente la Reina/Gares),610191,4725685,Señal Cruce Carretera
145,145,Aragonés,A3 (Monreal-Puente la Reina/Gares),610176,4725610,Mojón
146,146,Aragonés,A3 (Monreal-Puente la Reina/Gares),610094,4725647,Otros
